"","x"
"CYP3A4",0.21278336921059
"SERPINA1",0.212894504550026
"CYP2E1",0.215342032867344
"ADH1B",0.281910603942547
"FGA",0.38118565313917
"TTR",0.411672153342205
"SDS",0.418622450233099
"SPINK1",0.440619415720475
"GLUL",0.447098976737681
"APOA5",0.481541361397003
"ALB",0.490759981645652
"SSH2",0.529919159914032
"HAL",0.532750513931546
"AGT",0.556342916937833
"SAA2",0.562149315330271
"DCXR",0.573129941200682
"ABCB1",0.594385026737968
"AOX1",0.600041070432301
"NOP14",0.60996624075349
"FGG",0.616063880817505
"AGO1",0.617952712609971
"ADIRF",0.618524561138243
"FYTTD1",0.631179599862525
"ADH4",0.636045846999685
"NEAT1",0.638448266467347
"ATN1",0.63997668997669
"RCAN1",0.640033531018741
"ALDH1L1",0.649665207572405
"CD68",0.650716885506181
"MROH6",0.651906158357771
"A2M",0.654916980724672
"SAA1",0.661723403954947
"GLUD1",0.6625366790667
"ACAT1",0.664886066004053
"MZT2A",0.668368632085466
"SLCO1B3",0.673259218101706
"YAE1D1",0.673636363636363
"UVRAG",0.673636363636363
"C2orf54",0.673636363636364
"B9D2",0.673636363636364
"ZNF337-AS1",0.673636363636364
"INTS4",0.673636363636364
"FAT1",0.673636363636365
"CYFIP1",0.675856575370023
"XRN1",0.680440771349861
"SBF2",0.680440771349862
"RPS18",0.681436985818104
"PATZ1",0.683596977493871
"BCL3",0.687173558008308
"SPATA6L",0.687303195361202
"GPR75-ASB3",0.687898101843558
"RNF135",0.687898101843558
"NLGN2",0.687898101843559
"STX7",0.687898101843559
"RNF217",0.688554848338011
"ATP2A2",0.689246643374477
"GMPR2",0.690949394689866
"ABCC3",0.691091719557575
"TTTY14",0.696745160289828
"GAR1",0.697371035815255
"PRMT2",0.697931940371457
"ILF3",0.698180692912747
"CD74",0.699112603863425
"TCIRG1",0.702783354044596
"RPL5",0.704913297313275
"SLPI",0.708908518702189
"PIP5K1C",0.709249755620724
"TF",0.710311523098051
"CRYAB",0.710629520382204
"PPAP2A",0.712490436564996
"RP11-622A1.2",0.713697964981447
"TMPRSS2",0.713954181801714
"TSR2",0.714502836213136
"BOK",0.714818183806168
"ARL2",0.716265302026892
"LEPROTL1",0.716550484864588
"RNASE1",0.717318500111918
"TMCC1",0.718243036424855
"FASTKD2",0.718741816311261
"PIGP",0.71874952114039
"UBALD2",0.719136497722671
"UBE2G1",0.719848307844804
"VWA9",0.720496627553527
"XYLB",0.720932569095824
"WSB1",0.724135158341243
"FAM83A-AS1",0.724726006441584
"C7orf55",0.724848550454317
"RPSA",0.728368809768009
"TACC2",0.730143687803521
"RUFY1",0.731244980198059
"AHCYL2",0.73124498019806
"ADH1A",0.73185008081835
"ALKBH5",0.733337424900989
"TMEM238",0.733944607681728
"ERCC1",0.734003474451358
"BAP1",0.734201397096773
"UPP2",0.735179203644022
"CABLES1",0.735827762827352
"MT-ND4",0.73604657602563
"CTDSP2",0.736201707630271
"LRWD1",0.737630608930671
"URGCP",0.738860861501637
"NPW",0.739491065382658
"CYP1A1",0.740161236382502
"S100A13",0.740323591636205
"MTERFD2",0.740949432531931
"ETS1",0.743790124778978
"AGGF1",0.744232093663912
"ACOX3",0.744232093663913
"SLC27A5",0.747091871237335
"USP48",0.748089410589411
"DUSP2",0.748484848484847
"ZNF304",0.748484848484847
"HMGN5",0.748484848484847
"PXN-AS1",0.748484848484848
"SCD5",0.748484848484848
