"","x"
"Usp39",0
"Cyp2e1",0.0286544220614535
"Cyp2a5",0.0658290701173639
"Cyp2c29",0.0799763616665025
"Gstm2",0.0814451928965095
"Rgn",0.0838542460740967
"Alb",0.0874590331496776
"Rnase4",0.0905626236923947
"Ces2c",0.0924467099165895
"Acaa1b",0.0933451193332492
"Mup17",0.0983534530534594
"Cps1",0.099687711641207
"Aldh2",0.0998949980908744
"Pon1",0.109081139172488
"Serpina1e",0.110004742306558
"Cyp2c54",0.110194902548726
"Hpd",0.111520329994107
"Mgst1",0.117850642545916
"Apoa5",0.11969696969697
"Slco1b2",0.126791024601244
"Ahsg",0.133005304208092
"Gulo",0.137475164297723
"Hsd17b13",0.143120676402767
"Cdo1",0.146202044630098
"Elovl3",0.152317880794702
"Serpina1b",0.155889957160723
"Prdx6",0.161855381165919
"Oat",0.172094895494706
"Gstp1",0.172828638497653
"Arg1",0.175408878504673
"Mup20",0.176959771158596
"Gsta3",0.18570992521748
"Cyp2c50",0.187380497131931
"Cyp3a11",0.190021338866257
"Gstm1",0.19553555978543
"Pck1",0.198043295732486
"Car3",0.203414763546917
"Aldh1a1",0.204408382869788
"Wfdc21",0.20478198761989
"Cyp2f2",0.20619307512767
"Fitm1",0.207100591715976
"Ang",0.208110939292662
"Slc1a2",0.208847736625514
"Uox",0.212511499540018
"H2-Q10",0.21601427014171
"Slc22a1",0.217569609324412
"Cyb5a",0.219984789589319
"Hsd11b1",0.221801091570649
"Aox3",0.223673633440515
"Arsg",0.228260869565217
"Glul",0.231830726770929
"Sord",0.234618208516887
"Serpina1a",0.236187605782303
"Akr1c6",0.238046983960948
"Saa1",0.240129217516152
"Mup3",0.241310445827583
"Mug1",0.24274705349048
"Mup11",0.243954584089038
"Lect2",0.244902039184326
"Lhpp",0.245572207084469
"Serpina1c",0.249020000235435
"Ly6e",0.249057492931197
"Ces1c",0.254922576945135
"Phyh",0.255285696024543
"Map1lc3a",0.257019438444924
"Cyp4a14",0.259121501948282
"Gna11",0.259259259259259
"Ak6",0.259259259259259
"Topors",0.259259259259259
"1810058I24Rik",0.263031191124137
"Itm2b",0.272573363431151
"Apoc3",0.281153328850033
"Slc13a3",0.282511210762332
"Rarres1",0.283088235294118
"Aldob",0.28739215794713
"Serpina12",0.290573954742994
"Dhcr7",0.294554455445545
"Pigr",0.297854488793
"Rida",0.298993875765529
"Inmt",0.299827520122652
"Elavl1",0.3
"Npr2",0.301724137931034
"Cyp2c67",0.304631644389183
"Eci1",0.306284805091488
"Saa2",0.310945680628272
"Fbp1",0.311564320932317
"Hal",0.316443119721808
"Igfbp3",0.318181818181818
"Col1a1",0.318181818181818
"2810001G20Rik",0.318181818181818
"Xpo6",0.318181818181818
"Taf11",0.318181818181818
"Prmt1",0.318181818181818
"Ptpn18",0.318181818181818
"Selenop",0.31971587600126
"Cyp2c37",0.32316414686825
"Cyp1a2",0.32355285082953
"Prdx1",0.324632724988659
"Kdsr",0.325581395348837
"Serpina7",0.325581395348837
"Rab10os",0.325581395348837
"Trf",0.328066832121964
"Tsc22d1",0.334839924670433
"Gls2",0.35256837891928
"Aldh3a2",0.355035971223022
"Hpx",0.355215989065666
"C9",0.35526776338817
"Mt1",0.360325919060859
"Ugt2b34",0.373040752351097
"Acly",0.375
"Plbd1",0.375
"Sds",0.37654996353027
"Amdhd1",0.376856435643564
"Acat1",0.377104377104377
"Nat8f2",0.393629254829807
