"","region_1","zonation"
"AURKAIP1",1.22681587824013,-0.0116142015013759
"CCNL2",1.15565593830834,0
"RPL22",2.32778797086468,0.0210070045405746
"PARK7",1.39413857218535,0
"ERRFI1",2.32228591757323,0
"ENO1",1.34840716887199,0
"MASP2",1.78480088184161,-0.0168381649107082
"DHRS3",1.0440478173135,0
"ALDH4A1",1.51903601228729,0.100273598248753
"AKR7A3",1.35028164952678,-0.00507137077503343
"C1QA",1.24266618616238,2.26249762003773e-05
"C1QB",0.76100097102165,0.801606410708473
"RPL11",3.00076992173582,0
"HMGCL",1.82093696715606,-0.0177491061078599
"NR0B2",1.11292833564964,0.508572735473052
"FCN3",1.22350972877005,0
"ATPIF1",1.51944095322815,-3.4750442210967e-05
"NDUFS5",1.09264255825744,0.00211307907726203
"MFSD2A",1.13321411304184,-0.0580662364068016
"PTPRF",1.2769656617207,-0.206560561074152
"ATP6V0B",1.41329502957769,0
"RPS8",2.80823598263095,0
"PRDX1",1.18923103480764,0.0229638088743694
"AKR1A1",1.18779936599236,0
"CYP4A11",2.04295016169231,0
"ECHDC2",1.94889120068065,0.0583870972786615
"SCP2",1.70005296628047,0.000719295520080456
"TMEM59",0.887027731123459,0
"DHCR24",2.13600386741058,-0.00320461584400762
"C8A",2.31390150727624,0.000821618197067906
"C8B",2.56946829198491,0
"ANGPTL3",1.64802870214511,0
"PGM1",0.803728573680354,0.28996438683047
"LEPR",1.17965280611148,0
"ACADM",1.15349989043404,0.0264220602848738
"RPL5",2.45498776776975,0
"TMEM56",1.13908125132708,0.00380756043234759
"HAO2",1.51572986281721,-0.0352967876357922
"HMGCS2",3.34930145239946,4.9002282982041e-06
"TXNIP",2.31692750524292,-0.178015592736745
"FMO5",1.586889802749,0
"CERS2",1.43541741672603,0.00466313327987774
"SELENBP1",1.45158716276644,0.00857772013096884
"S100A13",1.19108473386653,-0.313596599495696
"JTB",1.21651327048495,0
"RPS27",3.32849423826887,0.119763298653414
"EFNA1",1.20322395137785,0
"APCS",3.36529072501643,-0.00431918554723531
"CRP",4.30182990016999,0
"DUSP23",1.28982925829103,0
"APOA2",5.53916384042573,-0.108612698163726
"NR1I3",0.866741953731258,0.0310518999458898
"MPC2",1.48185610979566,-0.315944985601935
"F5",0.986901575547832,0
"FMO3",1.59316188197509,0.126499869250073
"PRDX6",1.99483408914279,0.0476248099348447
"SERPINC1",3.48120673054836,0.124852615864787
"GLUL",1.07020073299094,2.46092670705095
"PRG4",1.29981242792805,0.00273637930058258
"CFH",2.89927154810892,0.0106987262730138
"CFHR1",2.77835664229427,0.000109043132442864
"CFHR2",2.53860955823418,0.00348991052867165
"ETNK2",1.22681587824013,0.0488344774981803
"GOLT1A",1.23895509575145,0.00316949878329914
"C4BPB",1.87951487773702,0
"C4BPA",3.05839067865102,0.216575717822896
"HSD11B1",1.56827212887209,0.236936339529987
"EPHX1",1.81279040727518,0.017365539100396
"H3F3A",1.22937686705528,0
"GUK1",1.48258048885468,0.088255369191081
"AGT",3.29082997617589,-0.729748142598852
"ADI1",1.96241837020386,0.0552361819463799
"RPS7",2.2044494341557,-0.00282161506583899
"COLEC11",1.43757346460033,0
"ID2",1.62518193593775,-0.0339213430587065
"PDIA6",0.991337045017781,0.0102864322255449
"SDC1",2.23860333868065,-0.00771892564251439
"RHOB",2.62532114081621,0
"APOB",4.01046464196204,-0.254556280300719
"HADHA",1.76562733514653,-0.000280864436573157
"HADHB",2.00605963975834,-0.19177603734914
"OST4",1.2994074869872,0.118591026621936
"KHK",2.19090074514111,-0.389145305628231
"HAAO",1.68192323676257,0
"RPS27A",2.82759740884152,0
"UGP2",1.36282580797896,0.0106377513101098
"PCBP1",1.16636348700438,0.0417439593203898
"TMSB10",1.8097644093085,0.00178121563482073
"FABP1",4.21582040609928,-0.0769194356818695
"COX5B",1.99299747938665,0
"RPL31",2.47067884541575,-0.000997119784650486
"STEAP3",1.13908125132708,0.0161296001942927
"DBI",1.54188277849465,0
"PROC",2.13297928516001,-6.16979957538781e-05
"MZT2B",1.67274994900726,-0.107176532088135
"CD302",0.829881489357788,0.0267054663402603
"ATP5G3",1.21280218007401,0
"TFPI",1.12363588434568,0
"MYO1B",0.90731350851566,0.187241251881867
"HSPD1",1.46001528986683,-0.00479084373900866
"HSPE1",1.67418161782254,-0.052021329851473
"AOX1",2.19803178389625,0.944410580497586
"EEF1B2",1.36355018703797,0.000746210185816854
"IDH1",1.08421443115705,0
"CPS1",2.26139031594083,0.000999064922604876
"FN1",3.42317101146615,-0.170791252476995
"RPL37A",3.20877960769426,0
"IGFBP2",3.22978466705871,-0.0262816303618715
"CYP27A1",2.16178189970767,0.197259583361033
"C2orf72",1.13908125132708,0.00477743089694884
"PTMA",1.44128455501126,0
"SPP2",1.54188277849465,-6.03485912520255e-05
"AGXT",3.50537110812149,-1.4606430844687e-05
"HDLBP",1.4387027846002,-0.00276332457030724
"RPL32",2.88102281678588,-0.00127502556495449
"RPL15",2.40085704776356,0.189729965837228
"ACAA1",1.75564416550951,0.00121190574291245
"RPSA",1.68472066027773,-0.0354137757339218
"RPL14",2.10199381932026,-0.000476886001807543
"CYP8B1",1.48514147766983,0.00846801316515637
"PLXNB1",1.12478598594145,-0.0386499598135734
"TMA7",1.49659418702079,0
"UQCRC1",1.52643741151325,0
"GPX1",1.83690033605697,0
"MST1",2.42905295033663,0.00592295224459443
"ABHD14B",1.10706119736441,0
"RPL29",2.79981590625753,0.0249949264515952
"ALAS1",1.55589647666076,0
"GLYCTK",1.46856679068856,-0.0399903972925369
"STAB1",0.960748659870398,0.0185765336093468
"ITIH1",3.43982549679373,0.0326366632472075
"ITIH3",3.58369581784198,-0.000202292574179015
"ITIH4",1.37940049496022,0.00293983905378562
"DNASE1L3",0.74071519362945,0.440584553097881
"SUCLG2",1.26111535379844,-0.0226320686661929
"PROS1",1.40555341063766,0.0105093131924086
"RPL24",2.21592507871414,-0.137660266025893
"COX17",1.02047667204713,0
"HGD",2.00997710730877,0.00368909231943703
"ALDH1L1",1.71362385260708,0.462563124984754
"CNBP",1.09635364866837,-0.0169729320251316
"TF",4.28038662100406,-0.423867454723623
"CP",3.48809946898804,-0.0802868728194164
"AADAC",0.787153886699085,0.0186503844162395
"BCHE",0.986901575547832,0.00308158569031441
"SLC2A2",1.25924087314365,0.207972422074397
"EIF4G1",1.23308795746622,0.0162029267431803
"EHHADH",1.07463620246089,0.0247606645329225
"AHSG",4.48039906784614,-0.369116636030413
"HRG",3.79227527866913,-0.171205546492376
"KNG1",3.52209796081349,0.000771654593852419
"ST6GAL1",1.99596340914266,0.124935050353289
"BDH1",1.43985288619597,0
"RPL35A",2.34248817719115,0.0222342631376799
"ATP5I",2.15265306665122,-0.0230318454718646
"HGFAC",1.48848549803857,0
"RPL9",2.63117778751137,0
"IGFBP7",2.15642422527282,-7.08613373293787e-05
"UGT2B7",1.67162062900739,0.184959512628771
"UGT2B4",1.17378566782624,0.0167095890975972
"GC",4.10066540386579,-0.00336476609099319
"ALB",7.17908355810268,-0.713758172616874
"AFM",1.50246132530603,-0.00880972871542769
"CXCL2",1.6499031827999,-0.0275038716437985
"HSD17B13",1.76709687486047,-0.628780557051315
"ADH5",1.05435042506868,-0.000313054565208772
"ADH4",2.38350640467139,1.07340169654696
"ADH6",1.51038072645149,0.0123314759028027
"ADH1A",2.00542612436597,0.469885722922122
"ADH1B",3.2036588736175,1.14984375505946
"HADH",0.964054809340477,0
"RPL34",2.88053210562631,0.0225004124370272
"CFI",2.35473344912709,-0.0489970338890381
"RPS3A",2.37600122043137,-0.00902763699773825
"FGB",5.33080606236552,-0.144677833922652
"FGA",5.73901628098916,-0.843999321660783
"FGG",5.13591839539787,-0.4800420960504
"TDO2",1.87279998667142,0.0125623889575695
"ACSL1",2.31391859657898,0.0430534694299327
"KLKB1",1.65157128631519,-0.00102866440142111
"F11",0.984340586732678,0
"SDHA",1.22197546782933,0.0794275182747484
"NADK2",1.09635364866837,0
"C9",2.69012108508646,-0.00437927320778891
"RPL37",3.05022801344064,0.0294844660879121
"C7",1.55002933837553,-0.868086591305235
"C6",1.91780701092577,0.11611234917712
"SEPP1",3.19352936503984,0.00271760950420735
"BTF3",1.04991495559874,0
"TBCA",0.844300128464756,0.142525573325477
"BHMT",1.75170450064706,0
"RPS23",2.75233875685467,-0.00315365685162974
"COX7C",2.3334081982427,-0.000221429237032013
"C5orf27",1.42656356708888,-0.299640772134028
"CDO1",1.15093890161889,0.130674968531312
"HSD17B4",1.38897872365639,-0.000525988991162317
"HINT1",2.47240775503718,0
"UQCRQ",2.78986279418102,0
"LEAP2",1.57287610458289,-0.0372198260232153
"SKP1",0.807439664091286,0.0827817297948744
"LECT2",0.888157051123328,0.00303162121162773
"EGR1",2.39937486596568,-0.0558389914744435
"HSPA9",0.992768713833066,0
"CD14",2.15169494505658,0.186500019758877
"NDUFA2",1.02962917820654,0.0609461497976479
"SPINK1",0.996479804243998,2.37606233831264
"CD74",1.62558687687861,0.249771526841199
"RPS14",2.71595084022088,0.148790852831582
"GPX3",2.36249624822017,-0.00507600019788591
"ATOX1",1.80651832804909,-0.0247858472237778
"DUSP1",2.54249483739025,0.0649000756470707
"LMAN2",1.23308795746622,-0.0558452188956539
"F12",2.960589409255,-0.203992303291916
"CANX",1.34254003058675,-0.00865890930362462
"MGAT4B",1.82636129360179,-0.0273835623098736
"SQSTM1",1.10706119736441,0.193284824430536
"GNB2L1",2.15898521408798,0.0422448075916292
"ECI2",0.986901575547832,0.00891087184898527
"HLA-A",1.98434219355085,0.195758451424488
"HLA-E",1.27468624012505,0
"TUBB",1.35451074185723,-0.000881255162393552
"HLA-C",2.43922097762178,0.107369539417782
"HLA-B",2.61649559598025,0.049450117948165
"APOM",2.11316637716782,0.0418494829009839
"C2",2.29358567232353,0.074296757745062
"CFB",2.73541891787973,0.00994108742976527
"HLA-DRA",1.05178943625353,0.0773901355444287
"HLA-DRB1",1.01305449122527,0
"RPS18",2.67759211739226,0.456300874076053
"TAPBP",1.23679904787715,0
"CUTA",1.31011503568323,-0.0121420623048909
"RPS10",1.33882894017582,0.0364221782067878
"RPL10A",1.97331520673665,0.0082551637540691
"FKBP5",1.31598217396847,0.0206724121759542
"GNMT",1.34254003058675,0.0400331679814585
"SLC22A7",2.07747894959761,-0.277522597501317
"HSP90AB1",1.20580572178891,-0.000856979319218959
"GSTA2",1.60274011067125,0.476473411296584
"GSTA1",1.16380249818922,0
"PTP4A1",1.23752342693616,-0.0682432450154809
"EEF1A1",3.68133249316242,0.0362384034471051
"COX7A2",1.65361427321084,0.207118602527148
"ARG1",2.09429007127889,-0.154159593711457
"RPS12",3.28747130490361,0
"AIG1",0.824014351072555,0.163437724851305
"SOD2",1.75120869603956,0.143323016709898
"SLC22A1",2.00793412041313,-0.0396681230912794
"PLG",3.554653902168,0.00570092326111723
"MPC1",1.6023351697304,-0.000862202817936879
"PSMB1",0.777575658002919,0
"ACTB",2.36056319934233,0.00939827267462899
"KDELR2",1.30680888621315,-0.000766221519396084
"NDUFA4",1.86106571010095,0
"TOMM7",1.86585067524957,-0.0302234092365461
"HNRNPA2B1",1.42583918802986,-0.00425584232633809
"PPIA",1.91637534211049,0.0596283910635885
"IGFBP1",3.78418034437893,-0.167851230272155
"IGFBP3",2.12722379213733,0.0535428824023504
"CHCHD2",1.75874393784009,0
"ASL",1.73906947852824,-0.0113950210885243
"MLXIPL",1.76379072539039,0.05256873345336
"POR",1.61584014194159,0.125285097258213
"MDH2",1.25552978273272,0.0119004918228482
"HSPB1",1.29610133751712,0
"PON1",2.26257868699241,0.00433850819065629
"PON3",1.75120869603956,-0.0142626018382689
"PDK4",1.0053507431839,0.0905393596761993
"SHFM1",0.927194344967008,-0.000504208613942426
"BRI3",1.01789490163607,0.310285299193106
"ATP5J2",1.51572986281721,-0.0185897706646012
"CYP3A5",1.7691928545241,-0.0229727479684165
"CYP3A4",2.19366811109577,2.29293675390987
"AZGP1",3.56609297981279,0.0404339432977028
"TFR2",2.84038082603107,0
"ZNHIT1",1.44241387501113,0.0305008961346684
"FIS1",1.38383596443017,-0.000375724511377776
"NDUFB2",1.54024473253986,0.0280659620639047
"GSTK1",1.29354034870196,0.00221365697494929
"PDIA4",1.37940049496022,-0.014972550433899
"RARRES2",3.24790250667721,0.0338957273410586
"TMEM176B",2.9576877572403,0.00463018205228732
"TMEM176A",2.78196632824303,0
"INSIG1",2.38998486103698,-0.238888670461488
"CD99",1.65433865226985,-0.353719772564535
"TMSB4X",1.46229471146248,0.395375065071414
"PRDX4",1.48330486791369,-0.230125854487194
"SAT1",1.67976718888827,0.0111277377919192
"RGN",0.814436122376389,0.0313725939085515
"NDUFB11",1.44828101329636,0
"TIMP1",1.62003917671154,-0.687762062508874
"EBP",1.12950302263091,-0.0938368268868318
"GJB1",1.23195863746635,0.0090618722927639
"RPS4X",1.90759526683723,-0.00154634433715678
"COX7B",1.17594171570054,-0.0435298099846601
"RPL36A",1.21610832954409,0
"SERPINA7",1.11292833564964,0.0206475690721126
"TSC22D3",1.17594171570054,0
"PGRMC1",1.35768304875274,0.0692904011816738
"RPL39",2.37520306700846,0.235611851892874
"NDUFA1",1.23639410693629,-0.0743949170460763
"F9",1.94839539607316,-0.108560516239592
"BGN",1.22054379901404,-0.0383568265428702
"SSR4",1.66020579055509,-0.316692769939127
"RPL10",3.30899538880742,-0.000243573723629877
"CTSB",2.4786424308104,0
"FGL1",4.07294207899896,0.00876319034813491
"SLC39A14",1.5598891342912,-0.0684264598807763
"EPHX2",1.97710930056574,-0.163624588680577
"CLU",4.05253555466588,0.0479855581297268
"TMEM66",1.12694203381575,0.205479343608335
"C8orf4",1.46600580187341,-0.21939642834538
"CEBPD",2.14103111316394,0.0103734458670847
"RPS20",1.89165409524834,0
"RPL7",2.04496309102745,-0.000929696506576584
"DECR1",1.07020073299094,0.0262984233066538
"UQCRB",1.5441622000903,0
"SDC2",0.950041111174363,0.0894868227616996
"RPL30",2.89245385548942,-0.0459961690764205
"HRSP12",1.81845116842091,-0.0831160346897461
"COX6C",1.86345819267526,0
"PABPC1",1.40770945851196,0
"FAM83A-AS1",1.80887293972475,-0.861172067160423
"NDUFB9",1.32596534360549,0
"LY6E",1.26994842183968,0.0469534880260708
"EEF1D",1.5238764226981,0.284055105055596
"GRINA",1.18995541386666,0.02472168031403
"PPP1R16A",0.877449502427293,0.152457133929276
"RPL8",2.44769072023715,0.0181165529217015
"RCL1",0.824014351072555,0.204679886578085
"PLIN2",1.35655372875287,-0.0246879611296607
"RPS6",2.49767165362506,0.012473942412602
"HINT2",0.724140506648181,0.0465512069457099
"GRHPR",2.22095034677307,0
"ZFAND5",2.15302089878557,0
"ALDH1A1",1.75421249669423,0.102319469884161
"HNRNPK",1.38012487401924,-5.16399966975055e-05
"CTSL",1.18551994439671,0
"GADD45G",2.00110616836888,0.136851427515288
"FBP1",2.67446337614412,-0.0799453919687519
"SEC61B",1.36355018703797,0
"BAAT",2.44663529819515,0.159961382109294
"ALDOB",4.35696813382552,-0.439725522286912
"TXN",1.22350972877005,0
"PTGR1",1.17594171570054,0
"AMBP",4.64373712328135,0.0268338843245103
"ORM1",5.00370241529242,-0.0717175691162543
"ORM2",3.39270152983984,3.37562163817918e-05
"C5",2.42060330374487,-0.00055036743636755
"STOM",1.75935525592044,-0.000311663351455635
"PSMB7",0.787153886699085,0.278550400027008
"RPL35",2.4784009475908,0.0228159678927617
"HSPA5",1.64877386280003,-0.00205001235895239
"RPL12",2.31007837304561,0.0144514109551039
"SLC25A25",1.49915517583595,-0.0530710840552933
"ASS1",2.1479367077824,0.0358350954879057
"RPL7A",2.39605837646172,0
"SURF4",0.787153886699085,0.00233461029689551
"RXRA",0.950041111174363,0.600575605763662
"AGPAT2",0.966615798155631,-7.85545117513091e-05
"EDF1",1.74329857085869,-6.69475127505014e-05
"FBXW5",0.880755651897372,0.0279098584975579
"C8G",2.68292504584104,-0.239548461240201
"MRPL41",1.16751358860016,0.071685673608802
"AKR1C4",1.37899555401937,0.400034475430818
"ITIH2",2.87689525702506,-0.00358707462209074
"ECHDC3",1.20580572178891,0.0840265204896547
"PHYH",1.22794519824,0
"CXCL12",1.38526763324546,-0.0149274016627894
"OGDHL",1.20066296256269,0.135733255892558
"MBL2",0.840589038053823,0
"PCBD1",1.62774292475291,0.164505344605367
"PSAP",2.42503877321481,0.00112118763560208
"DDIT4",1.22350972877005,-0.0353982669457632
"RPS24",2.47300386697669,0.0121354218626712
"MAT1A",3.00071424641523,0.641776550854785
"GHITM",1.18551994439671,0.00148183125135917
"GLUD1",1.3827066444303,0.505021712771838
"RBP4",4.80661740229776,0.27322649102383
"CYP2C9",2.65776145458518,0
"CYP2C8",2.59813774177863,0.121979222754427
"GOT1",1.62187578646767,-0.0179745247129729
"NDUFB8.1",1.04364287637265,0.0407421020523193
"USMG5",1.72606031092454,0
"GSTO1",1.88303668031119,0.000418977356570299
"ACSL5",0.887027731123459,0.160514158620109
"HABP2",1.49659418702079,1.47568830835944e-05
"PRDX3",0.943769031948276,0.0314951146152443
"ACADSB",1.53117522979861,0
"MGMT",1.34254003058675,-0.283490299312239
"PRAP1",1.07719719127604,0.0567952494353207
"FUOM",1.45015549395116,0
"ECHS1",2.44995072362983,0.114464713438443
"CYP2E1",3.44128305833085,1.34295391242958
"IFITM2",2.27419990258421,-0.0275081411045477
"IFITM3",3.10299545789443,0.000117071447021211
"SIGIRR",0.976194026851798,7.7336276746172e-05
"CDHR5",1.20693504178878,0.00800339314817816
"RPLP2",2.39544393993399,0.000207091631303102
"CD151",1.13321411304184,-0.10006223841372
"POLR2L",1.48514147766983,0.0518316045330621
"CTSD",2.46842141075727,0.195239694762045
"IGF2",1.7822020221278,0.00607787891797132
"CD81",2.42792118519654,0
"HPX",4.34044005894259,-0.111207039625995
"RPL27A",1.92060443444093,0.0191307499407675
"RPS13",2.39428456237362,0
"SAA4",3.43143238664593,-0.335974865574804
"SAA2",3.0240296711201,0.909838121466814
"SAA1",4.45988526598374,0.525007283747259
"LDHA",1.91928582660431,-0.00303713626731958
"CAT",1.86294019075575,0.0580937351887571
"F2",3.45578641870207,-0.0807454564226994
"SERPING1",4.2930035993713,0.000271531695847052
"GLYAT",1.29466966870183,-0.000937614756294917
"DAK",1.24710165563233,-0.318528189557157
"TMEM258",1.20580572178891,0.00134053957840112
"FTH1",3.28161218364655,0.205891511501963
"COX8A",1.23752342693616,0.224992664115964
"PRDX5",1.02120105110615,0.80974850347865
"FAU",2.49026379755824,0.0206028333717449
"NEAT1",1.78806916041303,0.425338339851919
"CFL1",0.940462882478197,0.0364049428373792
"PC",2.04994661997741,0.0715379549134456
"POLD4",1.35655372875287,-0.000862056080106853
"NDUFV1",1.35211825928292,-0.40845420477335
"STARD10",1.96868117346536,-0.000531714976175652
"SLCO2B1",1.44128455501126,-0.0188373737957965
"RPS3",2.32110434270084,-0.00228798881974055
"TSKU",1.21651327048495,0.271369232703232
"NDUFC2",1.12250656434581,0.00437301466631964
"ACAT1",2.08613423543342,0.184371675041174
"NNMT",3.43848287113262,-0.0375104123465456
"APOA5",2.57821618337728,1.01479951138974
"APOC3",5.77671716770201,0
"APOA1",5.98327563042698,-0.408527071242069
"ATP5L",1.68375984651871,-0.482272560349546
"TTC36",1.47886939844375,0.0566807815378037
"RPS25",2.61826575958687,0.00343511131365218
"SLC37A4",1.48514147766983,-0.261364243570308
"OAF",1.69006979664345,-0.0213117095771014
"HSPA8",1.32225425319455,0
"APLP2",1.61818547765265,0.0138166615975935
"GAPDH",2.72101181904926,0.184578573582581
"MLF2",1.34441451124155,-0.146026742160214
"PTMS",2.36490780514564,0.0243348099443928
"TPI1",1.86179008915997,-0.579746901447756
"PHB2",1.14722781120796,0
"C1S",3.96531689522138,-0.00195274582117241
"C1R",3.80561294763411,0.00426318118898768
"C1RL",1.0167655816362,0
"RBP5",0.803728573680354,0.246657279840204
"A2M",3.82206504835329,-0.539112367045477
"MGST1",2.39601379365539,0.00177283212953719
"SLC38A2",1.99676156256557,-0.00651299285136941
"SLC38A4",2.1981565733337,-0.472887172198508
"TMBIM6",2.15472639037085,0.389303334776687
"METTL7A",1.96053461358448,0.00100834788071077
"KRT8",1.61003891777177,-0.0307422285549753
"KRT18",1.19737759468852,-0.00384448053626614
"EIF4B",1.0167655816362,0.0134002068802209
"PFDN5",1.60274011067125,0.0134226998708197
"PCBP2",1.43170632631509,0.00613814577465508
"ATP5G2",1.21866931835925,0
"PPP1R1A",1.08090828168697,0.00271116780137026
"BLOC1S1",1.46856679068856,0
"CD63",1.70408349480957,0
"RPS26",2.01066361546913,0.0341637294941882
"RPL41",4.03271618415627,0
"MYL6",1.95139919672782,0.0189875195376322
"SLC39A5",1.09264255825744,1.08333510562332e-05
"STAT2",0.850167266749989,-0.03806713029059
"APOF",2.13746559378637,-0.00958818420897327
