"","region_1","zonation"
"Mrpl15",1.242453324894,0.0416335683903594
"Lypla1",0.967800252726973,0.00512864421247363
"Adhfe1",1.09550665866847,0.225429502830044
"Cops5",1.07937202838408,0.0214870777948788
"Lactb2",1.29823921272255,0
"Rpl7",2.80710957085374,0.120732021190895
"Eloc",1.29823921272255,-0.0124124206137542
"Gsta3",2.27823700649188,1.35609141974246
"Cox5b",3.2800703028,-2.96151905937946e-05
"Mrpl30",1.58902691517397,0.00384603516845714
"Rpl31",2.65833807900781,0.0297144832769295
"Hspd1",2.3958205720947,0.0716506633408056
"Hspe1",3.61116096993182,-0.00432468186016664
"Aox3",2.85830817401524,-0.545671543866161
"Ndufb3",2.40355104967934,-0.00884074229985431
"Ndufs1",1.06916652975401,-0.000121456109931454
"Eef1b2",2.7024521883432,-0.247847486059358
"Idh1",2.02083215219659,0.000117676156248631
"Acadl",1.42594561866405,1.23352387498293
"Cps1",3.97085727225704,-0.950340557551911
"Fn1",3.15444207584724,-0.00741388502721561
"Pecr",2.037616977906,-0.00709094752476916
"Rpl37a",2.73485656166904,0.233592527869018
"Igfbp2",2.7569418969882,-0.165079931223846
"Arpc2",0.922219863528484,0.183710733321848
"Aamp",1.6094379124341,-0.0238177336571097
"Pnkd",1.57289228488958,-0.0157211533068957
"Cyp27a1",1.55564406701784,0.165132634269323
"Retreg2",1.46448328862086,-0.0285968326111784
"Stk16",1.40869740079231,-0.0113123649555701
"Tuba4a",1.3540251005511,0.388002357221536
"Ptma",2.1049502113519,0.022528486024319
"Eif4e2",1.03972077083992,0.156039066433739
"Spp2",1.57289228488958,0.353177108503337
"Hes6",1.63777008376085,0
"Ndufa10",1.9073724790985,-0.111501173031195
"Cops9",2.6045414364044,0
"Agxt",2.36036302323489,-0.135564258460661
"Hdlbp",1.97929299721144,0.00186063246458316
"Tmem37",1.52731189569109,0.108711944624457
"Dbi",5.01559938265824,0.00812037608486572
"Insig2",2.16073609918045,-0.0637620374978281
"C4bp",2.2873289175346,0.463387736521767
"Pigr",2.97597147171888,-3.09480753286811
"Etnk2",1.81809959814251,0
"Snrpe",1.14108704786696,0
"Tmem183a",1.34381960192104,0.0156487388502376
"Adipor1",1.17962471782377,-0.0108490325493801
"F13b",0.866433975699932,0.0579104553216353
"Cfhr1",1.26879345380846,0.0102110854741856
"Gm4788",1.26879345380846,-0.255175392645801
"Cfhr2",2.75755031782878,-0.022862555951281
"Cfh",2.54978444865927,-0.080346637214595
"Glul",0.346573590279973,5.6441762693849
"Qsox1",2.4470191752562,-0.0226806164028167
"Mrps14",1.64481280300253,-0.00171056524975675
"Serpinc1",3.7264843593471,-0.00226238609470404
"Prdx6",3.03012868929213,0.00994090351549251
"Fmo1",0.794513457586986,2.67694732858052
"F5",1.64481280300253,-0.00480122654972924
"Mpc2",2.88121350895888,0.212120065428932
"Creg1",2.47153447855025,0.999791204628049
"Tmco1",1.42594561866405,0.0634019472531978
"Aldh9a1",1.85663726809933,-0.000590628033160435
"Sdhc",1.14108704786696,0.0915825768768365
"Nr1i3",0.346573590279973,5.81750613187737
"Apoa2",6.71955446725546,0.915656926519713
"Ndufs2",2.15511788521743,0.0240471081518228
"Ufc1",1.72893086215783,0
"Nit1",0.794513457586986,0.0863565469500641
"Copa",1.3701597308355,0.000962364578054544
"Pex19",0.621226662447,0.392251055316383
"Crp",1.88046481305041,0.248926512519066
"Apcs",1.72693881974553,0.00490508972975321
"Fh1",2.09790749211022,-0.00539568734255967
"Kmo",1.55365202460555,0.00304040777213996
"Cox20",1.78471674998638,-0.029121876125283
"Hnrnpu",1.29823921272255,0
"Coq8a",1.15129254649702,0.302046367031665
"Psen2",2.30733959445299,-0.0163208126030401
"H3f3a",1.71279623187344,0
"Ephx1",1.47152600786254,1.04534175055867
"Srp9",2.19411894733658,0.0280766200027756
"Degs1",1.4542777899908,0
"Marc1",2.56701530481705,0.000283521462766474
"Marc2",2.58495128103176,0.0471617636028187
"Nenf",1.47152600786254,-0.00753120344883318
"Ppp2r5a",1.28099099485081,0.00312299882854984
"Lpgat1",0.967800252726973,0
"Hsd11b1",3.17274122181741,-1.07551318071658
"G0s2",1.71673332111547,-0.150531903529419
"Phyh",4.16460157195893,0.366912862834082
"Mcm10",1.09861228866811,-0.0214585829730523
"Atp5c1",2.76528079541342,-0.0479185056373658
"Itih2",2.6126130557295,-0.143911003631916
"Commd3",1.47152600786254,-0.00782027188923602
"Acbd5",0.967800252726973,0.0710872952017993
"Pnpla7",2.15511788521743,0
"Nsmf",0.967800252726973,0.0527276287183111
"Entpd8",1.15129254649702,0
"Tubb4b",1.17053280678105,0.0511238769490843
"C8g",3.4782645581772,-0.0471386646342303
"Edf1",2.75099119195344,0
"Fcna",1.54344652597548,-0.0379836063601593
"Agpat2",2.41375654830941,0.0718709479228972
"Rpl7a",3.06252238273674,-0.00967033706749577
"Surf4",1.70059869083108,-0.234239171472763
"Sardh",2.66793555139572,-0.0502015438382575
"Rxra",1.31437384300695,0.0684923089533035
"Endog",0.997246011641069,0.0044016500839868
"Kyat1",1.17053280678105,-0.00587931711297288
"Tor1a",1.25265882352406,0.00764912451444358
"Ass1",3.62625101800156,-0.91235634984133
"Swi5",2.47786393054633,0
"1110008P14Rik",1.38629436111989,-0.0088555756383183
"Rpl12",2.83994357136901,-0.228004337510026
"Hspa5",2.70693661351486,-0.0247123469273892
"Hc",2.98816901276124,-1.60127106377013
"AI182371",2.49787460746471,-0.894897460384069
"Rab14",0.967800252726973,0.0204883694081
"Ndufa8",2.02083215219659,-0.0148567374585726
"Psmb7",1.33677688267937,0.0730265064165043
"Rpl35",2.51520828081498,0.0255447817627071
"Arpc5l",0.934417404570842,0.114648813133152
"Kynu",1.58902691517397,-1.55996427529759
"Upp2",1.96504626436804,-0.0483608684700974
"Cd302",2.62730581902128,0.266137628078836
"Abcb11",2.24174852833611,0.0005133729050244
"Gorasp2",1.12495241758257,-0.0034486584763045
"Rapgef4",0.922219863528484,0.28859105233663
"Atp5g3",2.58627292681504,-0.000174472515355581
"Mtx2",0.519860385419959,0.489915642559406
"Hnrnpa3",0.997246011641069,0
"Serping1",2.6076450371915,0.031852026929044
"Mtch2",2.23473131799707,-0.0215889315357973
"Ndufs3",2.23969933653507,0
"Psmc3",0.895879734614027,0
"Nr1h3",1.22631869460961,0.308009275658468
"Arfgap2",0.722592939474041,1.37484166156169
"F2",3.69154198333553,-0.00087635448710286
"Pex16",0.850299345415539,0.470339136402104
"Hsd17b12",1.77251920894402,0.000471312038384969
"Cat",4.3542762857869,-0.0783406046566164
"Cd59a",0.997246011641069,-0.00647771322479635
"Eif3m",1.25265882352406,0
"Bbox1",1.62756458513079,-0.380159642588189
