"","zone_1","zone_2","zone_3"
"Sox17",0,0,0
"Mrpl15",0,0,0
"Lypla1",0,0,0
"Tcea1",0,0,0
"Atp6v1h",0,0,0.0175907189725976
"Rb1cc1",0,0,0
"X4732440D04Rik",0,NA,0
"Pcmtd1",0,0,0
"Gm26901",0,NA,0
"Rrs1",0,0,0
"Adhfe1",0,0,0.0667348359597683
"Vcpip1",0,0,0
"X1700034P13Rik",0,0,0
"Sgk3",0,0,0
"Snhg6",0,0,0
"Tcf24",0,0,0
"Ppp1r42",0,NA,0
"Cops5",0,0,0
"Cspp1",0,0,0
"Arfgef1",0,0,0
"Prex2",0,0,0
"Ncoa2",0,0,0
"Tram1",0,0,0
"Lactb2",0,0,0
"Xkr9",0,0,0
"Gm9947",0,NA,0
"Msc",0,NA,0
"Terf1",0,0,0
"Sbspon",0,NA,0
"Rpl7",0,0,0
"Rdh10",0,0,0
"Stau2",0,0,0
"Ube2w",0,0,0
"Eloc",0,0,0
"Tmem70",0,0,0
"Ly96",0,0,0
"Jph1",0,NA,0
"Pi15",0,NA,0
"Pkhd1",0,0,0
"Mcm3",0,0,0
"Paqr8",0,NA,0
"Efhc1",0,NA,0
"Tram2",0,0,0
"Tmem14a",0,0,0.0252141201102063
"Gsta3",0,0.012236262157365,0.682625386894626
"Gm29107",0,NA,0
"Ogfrl1",0,0,0
"Smap1",0,0,0
"Sdhaf4",0,0,0
"Fam135a",0,0,0
"Lmbrd1",0,0,0
"Gm5524",0,0,0
"Phf3",0,0,0
"Ptp4a1",0,0,0
"Gm29669",0,NA,0
"Prim2",0,0,0
"Rab23",0,0,0
"Bag2",0,0,0
"Zfp451",0,0,0
"Bend6",0,NA,0
"Dst",0,0,0
"Ccdc115",0,0,0
"Imp4",0,0,0
"Ptpn18",0,0,0
"Arhgef4",0,NA,0
"Gm38336",0,NA,0
"Fam168b",0,0,0
"Plekhb2",0,0,0
"Hs6st1",0,0,0
"Gm37335",0,NA,0
"Gm33280",0,NA,0
"Uggt1",0,0,0
"Neurl3",0,0,0
"Arid5a",0,0,0
"Kansl3",0,0,0
"Lman2l",0,0,0
"Cnnm4",0,NA,0
"Cnnm3",0,0,0
"Ankrd39",0,0,0
"Sema4c",0,0,0
"Fam178b",0,0,0
"Cox5b",0.0732149084301665,0.0150776343868709,0
"Actr1b",0,0,0
"Zap70",0.044410425666898,0,0
"Tmem131",0,0,0
"Vwa3b",0,0,0
"Inpp4a",0,0,0
"Coa5",0,0,0
"Unc50",0,0,0
"Mgat4a",0,NA,0
"Tsga10",0,0,0
"Lipt1",0,0,0
"Mitd1",0,0,0
"Mrpl30",0,0,0
"Txndc9",0,0,0
"Eif5b",0,0,0
"Rev1",0,0,0
"Aff3",0,NA,0
"Pdcl3",0,0,0
"Npas2",0,NA,0
"Rpl31",0,0,0.0453641066267723
"Tbc1d8",0,0,0
"Cnot11",0,0,0
"Rnf149",0,0,0
"Map4k4",0,0,0
"Il1r2",0,NA,0
"Il1r1",0,0,0
"Il1rl2",0,NA,0
"Il18r1",0,NA,0
"Il18rap",0,NA,0
"Mfsd9",0,0,0
"Mrps9",0,0,0
"Tgfbrap1",0,0,0
"X8430432A02Rik",0,0,0
"AI597479",0,0,0
"Fhl2",0,NA,0
"Nck2",0,0,0
"Gm29155",0,NA,0
"Uxs1",0,0,0
"Tpp2",0,0,0
"Tex30",0,0,0
"Kdelc1",0,0,0
"Bivm",0,0,0
"Ercc5",0,0,0
"Gulp1",0,NA,0
"Col3a1",0,0,0.015636135134401
"Col5a2",0,0,0
"Wdr75",0,0,0
"Slc40a1",0.0235860696275824,0,0
"Slc39a10",0,0,0
"Gm28151",0,NA,0
"Cavin2",0,0,0
"Nabp1",0,0,0
"Gm17767",0,NA,0
"Myo1b",0,0,0
"Stat4",0,NA,0
"Gm31812",0,0,0
"Stat1",0,0,0
"Gls",0,0,0
"Nab1",0,0,0
"Nemp2",0,NA,0
"Mfsd6",0,0,0
"Inpp1",0,0,0
"Hibch",0,0,0
"X1700019A02Rik",0,NA,0
"Pms1",0,0,0
"Ormdl1",0,0,0
"Osgepl1",0,0,0
"Asnsd1",0,0,0
"Stk17b",0,0,0
"Hecw2",0,NA,0
"Gtf3c3",0,0,0
"Pgap1",0,0,0
"Ankrd44",0,0,0
"Sf3b1",0,0,0
"Coq10b",0,0,0
"Hspd1",0,0,0.0196233667218309
"Hspe1",0,0,0
"Mob4",0,0,0
"Rftn2",0,NA,0
"Mars2",0,0,0
"Plcl1",0,NA,0
"Satb2",0,NA,0
"X1700066M21Rik",0,0,0
"Tyw5",0,0,0
"Maip1",0,0,0
"Spats2l",0,0,0
