Gene,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,P value,Q value (Benjamini-Hochberg corrected P value),CV,MZ,PV,Zone
Apoh,52.8986489,50.72385502,49.23958951,47.773113,45.93826739,44.55313922,43.5984685,42.66805075,41.7606053,0,0,51.81125196,46.87602728,42.67570818,CV
Comt,4.344719506,4.2403561,4.000677161,3.817688087,3.603357595,3.492111449,3.418833422,3.446842144,3.515590966,0,0,4.292537803,3.728458573,3.460422177,CV
Gstt1,2.013475608,1.755922453,1.632990328,1.496053008,1.430454449,1.369635806,1.362973056,1.248899393,1.226422429,0,0,1.884699031,1.482283398,1.279431626,CV
Gstt3,0.619330416,0.504088741,0.407965168,0.341754988,0.316061738,0.304140092,0.310520378,0.286574471,0.303135842,0,0,0.561709579,0.342480497,0.300076897,CV
Dhrs1,1.798765777,1.630129726,1.539289623,1.434292166,1.307919864,1.25579345,1.191471119,1.127853945,1.108089841,0,0,1.714447752,1.384323776,1.142471635,CV
Pon1,18.48170989,15.7662848,13.70653536,12.12938732,10.30967576,8.957161598,7.709709214,6.556256453,5.177101725,0,0,17.12399735,11.27569001,6.481022464,CV
Apoe,169.0920517,158.0484925,149.9991151,142.2553584,135.8277512,132.1810824,129.3574624,127.8297156,126.3233955,0,0,163.5702721,140.0658268,127.8368578,CV
Cyp2c29,28.37832184,23.85379463,19.0003371,14.01710483,9.969141989,7.220579747,5.784567136,4.811882001,3.954031578,0,0,26.11605824,12.55179092,4.850160238,CV
Inmt,4.574447367,4.306521669,4.010099304,3.780043978,3.502979211,3.371010462,3.218020817,3.135187162,3.046730598,0,0,4.440484518,3.666033239,3.133312859,CV
Prodh,2.08662335,1.792785644,1.572830278,1.404907676,1.22335022,1.106221452,1.004335864,0.983014324,0.916434636,0,0,1.939704497,1.326827407,0.967928275,CV
Gstm3,1.022067068,0.729703395,0.558815261,0.423056618,0.34167001,0.300498265,0.250399369,0.238423458,0.22128973,0,0,0.875885232,0.406010039,0.236704186,CV
Slc1a2,4.745028503,2.283578467,1.212832149,0.770196737,0.627128876,0.556815359,0.457914329,0.399537558,0.339750379,0,0,3.514303485,0.79174328,0.399067422,CV
Prlr,0.859589899,0.825297086,0.838144852,0.789011835,0.682283507,0.627068225,0.534584602,0.479650313,0.440373534,0,0,0.842443493,0.734127105,0.484869483,CV
Por,7.23364466,6.467658282,6.026487688,5.457047993,4.863314281,4.41339232,4.192359459,3.898961725,3.682603778,0,0,6.850651471,5.190060571,3.924641654,CV
Cyp2a5,12.08043781,7.366918804,4.519319899,2.685316846,1.927683369,1.553121568,1.288868771,1.10260699,0.890825081,0,0,9.723678307,2.671360421,1.094100281,CV
Nr1i3,2.166882395,1.91200989,1.745745842,1.526156595,1.287848769,1.136370801,0.961377019,0.858910628,0.781276614,0,0,2.039446143,1.424030502,0.867188087,CV
Apoa2,208.8801702,208.3636844,207.0534503,203.0332259,198.4184628,192.8901943,188.0380337,183.9597776,180.6934818,0,0,208.6219273,200.3488333,184.230431,CV
Pgrmc1,6.519275646,6.281348733,6.210119837,5.908960508,5.610486548,5.470113335,5.470341363,5.372717665,5.366226305,0,0,6.40031219,5.799920057,5.403095111,CV
Mgst1,93.74080906,89.25815293,82.51740434,76.74948001,71.30447776,66.85924433,63.93580263,61.50988143,58.89665229,0,0,91.499481,74.35765161,61.44744545,CV
Slc16a12,0.525654888,0.471124007,0.465421131,0.406757175,0.37224021,0.31135698,0.283075487,0.263591681,0.245949919,0,0,0.498389448,0.388943874,0.264205696,CV
Aldh3a2,3.174193559,2.476179284,1.820707443,1.314755106,0.947245534,0.704635442,0.575145681,0.495568332,0.41352066,0,0,2.825186422,1.196835881,0.494744891,CV
Acaa1b,3.430625961,3.028384983,2.559713981,2.292068004,1.931802814,1.812846803,1.675056914,1.605703654,1.522699392,0,0,3.229505472,2.149107901,1.60115332,CV
Chp1,2.222795213,2.076468996,1.962784763,1.882287534,1.781171677,1.716583361,1.699679451,1.594384131,1.563730043,0,0,2.149632105,1.835706834,1.619264542,CV
Lamp2,9.863505164,9.401052921,9.001972332,8.756096441,8.223621679,8.207911974,8.031666742,7.949736896,7.916371608,0,0,9.632279043,8.547400607,7.965925082,CV
Slc13a3,0.281443934,0.14984101,0.081911166,0.053273505,0.044242624,0.033375368,0.035495814,0.029721371,0.026003586,0,0,0.215642472,0.053200666,0.030406924,CV
Tbx3,0.415067237,0.321229323,0.237649251,0.185857563,0.132625222,0.109735435,0.08840755,0.067932702,0.055450982,0,0,0.36814828,0.166466868,0.070597078,CV
Slc16a10,0.937003195,0.77451432,0.629255692,0.524955756,0.435287343,0.381603134,0.337486379,0.333935971,0.296105354,0,0,0.855758758,0.492775481,0.322509235,CV
Pah,13.07359891,12.35111938,12.14659208,11.19576379,10.83379356,10.82601408,10.91600819,11.0086603,11.23498672,0,0,12.71235915,11.25054088,11.0532184,CV
Slc16a7,0.485159526,0.39154945,0.334494153,0.306825105,0.250816569,0.233819826,0.223740897,0.218354162,0.210687859,0,0,0.438354488,0.281488913,0.217594306,CV
Avpr1a,0.321024094,0.276093387,0.252129149,0.189553236,0.153893586,0.119514493,0.093282879,0.07733155,0.060160618,0,0,0.298558741,0.178772616,0.076925016,CV
Acox1,12.74109809,12.23712677,11.75394868,11.20332291,11.05007411,10.82105532,10.72650451,10.57056227,10.33260647,0,0,12.48911243,11.20710026,10.54322442,CV
Abcc3,1.139825895,1.010582646,0.911868366,0.765611103,0.683728691,0.654111448,0.602477749,0.592727973,0.598666779,0,0,1.075204271,0.753829902,0.5979575,CV
